Country,Region,Urban,Origin,Year1,Year2,AgeDef,Vitality,  TFR,  MAB,Collection,SourceType,   RefCode,Note,Split
    ABW,     .,    .,     ., 1992, 1992,   ACY,       1,2.214,27.23,      STAT,     vital,    ABW_01,   .,    1
    ABW,     .,    .,     ., 1993, 1993,   ACY,       1,2.052,27.43,      STAT,     vital,    ABW_01,   .,    1
    ABW,     .,    .,     ., 1994, 1994,   ACY,       1,2.036,27.25,      STAT,     vital,    ABW_01,   .,    1
    ABW,     .,    .,     ., 1995, 1995,   ACY,       1,2.137,27.28,      STAT,     vital,    ABW_01,   .,    1
    ABW,     .,    .,     ., 1996, 1996,   ACY,       1,2.088,27.53,      STAT,     vital,    ABW_01,   .,    1
    ABW,     .,    .,     ., 1997, 1997,   ACY,       1,2.032,27.83,      STAT,     vital,    ABW_01,   .,    1
    ABW,     .,    .,     ., 1998, 1998,   ACY,       1,1.823,27.75,      STAT,     vital,    ABW_01,   .,    1
    ABW,     .,    .,     ., 1999, 1999,   ACY,       1,1.747,27.39,      STAT,     vital,    ABW_01,   .,    1
    ABW,     .,    .,     ., 2000, 2000,   ACY,       1,2.028,27.32,      STAT,     vital,    ABW_01,   .,    1
    ABW,     .,    .,     ., 2001, 2001,   ACY,       1,1.865,27.49,      STAT,     vital,    ABW_01,   .,    1
    ABW,     .,    .,     ., 2002, 2002,   ACY,       1,1.873,27.40,      STAT,     vital,    ABW_01,   .,    1
    ABW,     .,    .,     ., 2003, 2003,   ACY,       1,1.886,27.45,      STAT,     vital,    ABW_01,   .,    1
    ABW,     .,    .,     ., 2004, 2004,   ACY,       1,1.787,27.34,      STAT,     vital,    ABW_01,   .,    1
    ABW,     .,    .,     ., 2005, 2005,   ACY,       1,1.865,27.22,      STAT,     vital,    ABW_01,   .,    1
    ABW,     .,    .,     ., 2006, 2006,   ACY,       1,2.035,27.24,      STAT,     vital,    ABW_01,   .,    1
    ABW,     .,    .,     ., 2007, 2007,   ACY,       1,2.041,27.27,      STAT,     vital,    ABW_01,   .,    1
    ABW,     .,    .,     ., 2008, 2008,   ACY,       1,2.023,27.46,      STAT,     vital,    ABW_01,   .,    1
    ABW,     .,    .,     ., 2009, 2009,   ACY,       1,1.961,27.35,      STAT,     vital,    ABW_01,   .,    1
    ABW,     .,    .,     ., 2010, 2010,   ACY,       1,1.891,27.36,      STAT,     vital,    ABW_01,   .,    1
    ABW,     .,    .,     ., 2011, 2011,   ACY,       1,1.688,27.53,      STAT,     vital,    ABW_01,   .,    1
    ALB,     .,    .,     ., 1955, 1955,   ACY,       1,6.779,31.54,       ODE,  estimate,    ALB_01,   .,    2
    ALB,     .,    .,     ., 1956, 1956,   ACY,       1,6.294,31.10,       ODE,  estimate,    ALB_01,   .,    2
    ALB,     .,    .,     ., 1957, 1957,   ACY,       1,5.827,30.81,       ODE,  estimate,    ALB_01,   .,    2
    ALB,     .,    .,     ., 1958, 1958,   ACY,       1,6.228,30.82,       ODE,  estimate,    ALB_01,   .,    2
    ALB,     .,    .,     ., 1959, 1959,   ACY,       1,6.225,30.60,       ODE,  estimate,    ALB_01,   .,    2
    ALB,     .,    .,     ., 1960, 1960,   ACY,       1,6.573,31.34,       ODE,  estimate,    ALB_01,   .,    2
    ALB,     .,    .,     ., 1961, 1961,   ACY,       1,6.214,31.10,       ODE,  estimate,    ALB_01,   .,    2
    ALB,     .,    .,     ., 1962, 1962,   ACY,       1,5.932,31.12,       ODE,  estimate,    ALB_01,   .,    2
    ALB,     .,    .,     ., 1963, 1963,   ACY,       1,5.879,30.87,       ODE,  estimate,    ALB_01,   .,    2
    ALB,     .,    .,     ., 1964, 1964,   ACY,       1,5.659,30.64,       ODE,  estimate,    ALB_01,   .,    2
