Cohort,CCFR_40,CCFR_45,CCFR_50
1876,3.15,3.438,3.469
1877,3.098,3.377,3.405
1878,3.05,3.318,3.344
1879,2.987,3.249,3.274
1880,2.928,3.181,3.203
1881,2.906,3.143,3.165
1882,2.854,3.075,3.096
1883,2.781,2.989,3.007
1884,2.736,2.932,2.949
1885,2.683,2.866,2.883
1886,2.606,2.776,2.791
1887,2.553,2.711,2.724
1888,2.5,2.652,2.665
1889,2.428,2.571,2.583
1890,2.364,2.497,2.509
1891,2.311,2.435,2.447
1892,2.247,2.366,2.376
1893,2.184,2.298,2.309
1894,2.122,2.233,2.243
1895,2.048,2.156,2.165
1896,1.986,2.092,2.102
1897,1.938,2.041,2.051
1898,1.881,1.983,1.992
1899,1.816,1.921,1.93
1900,1.768,1.877,1.886
1901,1.735,1.848,1.858
1902,1.693,1.81,1.819
1903,1.674,1.794,1.802
1904,1.672,1.793,1.8
1905,1.669,1.787,1.794
1906,1.688,1.8,1.806
1907,1.712,1.815,1.821
1908,1.724,1.818,1.823
1909,1.751,1.84,1.845
1910,1.776,1.86,1.866
1911,1.797,1.876,1.881
1912,1.832,1.908,1.913
1913,1.862,1.934,1.939
1914,1.89,1.959,1.964
1915,1.903,1.972,1.976
1916,1.916,1.981,1.985
1917,1.936,1.998,2.001
1918,1.956,2.016,2.02
1919,1.976,2.031,2.034
1920,1.971,2.025,2.028
1921,1.969,2.022,2.024
1922,1.98,2.033,2.035
1923,1.985,2.036,2.038
1924,1.989,2.036,2.038
1925,2.002,2.045,2.046
1926,2.031,2.071,2.072
1927,2.054,2.09,2.091
1928,2.072,2.104,2.105
1929,2.077,2.108,2.109
1930,2.088,2.115,2.115
1931,2.122,2.145,2.146
1932,2.127,2.148,2.149
1933,2.118,2.139,2.14
1934,2.138,2.157,2.157
1935,2.122,2.139,2.14
1936,2.094,2.113,2.114
1937,2.086,2.105,2.106
1938,2.063,2.083,2.084
1939,2.038,2.061,2.061
1940,2.028,2.05,2.052
1941,2.007,2.029,2.03
1942,1.973,1.997,1.998
1943,1.96,1.986,1.987
1944,1.96,1.988,1.989
1945,1.945,1.971,1.972
1946,1.959,1.987,1.989
1947,1.967,1.998,1.999
1948,1.958,1.992,1.993
1949,1.967,2.002,2.003
1950,1.97,2.008,2.009
1951,1.962,2,2.001
1952,1.971,2.008,2.01
1953,1.986,2.023,2.025
1954,1.986,2.022,2.024
1955,1.997,2.033,2.035
1956,2.003,2.04,2.041
1957,2.013,2.05,2.052
1958,2.016,2.055,2.057
1959,2.005,2.045,2.048
1960,2.011,2.055,2.058
1961,1.981,2.027,2.03
1962,1.982,2.032,2.035
1963,1.971,2.024,2.028
1964,1.957,2.01,2.014
1965,1.952,2.01,2.013
1966,1.938,2,2.004
1967,1.929,1.992,1.996
1968,1.926,1.992,1.997
1969,1.921,1.989,1.993
1970,1.924,1.994,1.999
1971,1.901,1.972,1.976
1972,1.901,1.97,1.976
1973,1.879,1.954,1.96
1974,1.885,1.959,1.965
1975,1.875,1.95,NA
1976,1.865,1.94,NA
1977,1.866,1.943,NA
1978,1.858,1.934,NA
1979,1.846,1.922,NA
1980,1.852,NA,NA
1981,1.834,NA,NA
1982,1.811,NA,NA
1983,1.807,NA,NA
1984,1.792,NA,NA
1985,NA,NA,NA
1986,NA,NA,NA
1987,NA,NA,NA
1988,NA,NA,NA
1989,NA,NA,NA
1990,NA,NA,NA
1991,NA,NA,NA
1992,NA,NA,NA
1993,NA,NA,NA
1994,NA,NA,NA
1995,NA,NA,NA
1996,NA,NA,NA
1997,NA,NA,NA
1998,NA,NA,NA
1999,NA,NA,NA
2000,NA,NA,NA
2001,NA,NA,NA
2002,NA,NA,NA
2003,NA,NA,NA
2004,NA,NA,NA
2005,NA,NA,NA
2006,NA,NA,NA
2007,NA,NA,NA
2008,NA,NA,NA
2009,NA,NA,NA
2010,NA,NA,NA
2011,NA,NA,NA
