Cohort,CCFR_40,CCFR_45,CCFR_50
1918,2.429,2.504,2.507
1919,2.517,2.591,2.595
1920,2.628,2.704,2.708
1921,2.673,2.745,2.749
1922,2.714,2.781,2.784
1923,2.786,2.85,2.852
1924,2.879,2.939,2.942
1925,2.929,2.984,2.986
1926,2.974,3.024,3.025
1927,3.046,3.091,3.092
1928,3.067,3.108,3.109
1929,3.132,3.169,3.171
1930,3.204,3.237,3.239
1931,3.21,3.24,3.241
1932,3.226,3.252,3.253
1933,3.231,3.255,3.256
1934,3.23,3.253,3.254
1935,3.192,3.213,3.214
1936,3.11,3.13,3.131
1937,3.039,3.058,3.059
1938,2.964,2.983,2.983
1939,2.872,2.891,2.892
1940,2.775,2.794,2.795
1941,2.66,2.679,2.68
1942,2.542,2.56,2.561
1943,2.444,2.463,2.464
1944,2.344,2.364,2.365
1945,2.27,2.291,2.292
1946,2.192,2.214,2.215
1947,2.126,2.149,2.15
1948,2.078,2.103,2.104
1949,2.029,2.056,2.057
1950,1.992,2.021,2.022
1951,1.966,1.996,1.998
1952,1.949,1.979,1.981
1953,1.938,1.969,1.971
1954,1.939,1.972,1.974
1955,1.944,1.978,1.98
1956,1.947,1.983,1.985
1957,1.948,1.984,1.987
1958,1.95,1.988,1.991
1959,1.97,2.009,2.012
1960,1.98,2.021,2.024
1961,1.977,2.02,2.023
1962,1.985,2.03,2.033
1963,2.002,2.048,2.051
1964,2.016,2.063,2.066
1965,2.023,2.071,2.074
1966,2.036,2.085,2.089
1967,2.054,2.105,2.109
1968,2.055,2.107,2.11
1969,2.059,2.11,2.114
1970,2.081,2.132,2.136
1971,2.103,2.156,2.16
1972,2.124,2.178,2.182
1973,2.144,2.199,2.203
1974,2.155,2.212,NA
1975,2.16,2.218,NA
1976,2.167,2.226,NA
1977,2.171,2.23,NA
1978,2.147,2.206,NA
1979,2.12,NA,NA
1980,2.101,NA,NA
1981,2.091,NA,NA
1982,2.092,NA,NA
1983,2.075,NA,NA
1984,NA,NA,NA
1985,NA,NA,NA
1986,NA,NA,NA
1987,NA,NA,NA
1988,NA,NA,NA
1989,NA,NA,NA
1990,NA,NA,NA
1991,NA,NA,NA
1992,NA,NA,NA
1993,NA,NA,NA
1994,NA,NA,NA
1995,NA,NA,NA
1996,NA,NA,NA
1997,NA,NA,NA
1998,NA,NA,NA
1999,NA,NA,NA
2000,NA,NA,NA
2001,NA,NA,NA
2002,NA,NA,NA
2003,NA,NA,NA
2004,NA,NA,NA
2005,NA,NA,NA
2006,NA,NA,NA
2007,NA,NA,NA
2008,NA,NA,NA
2009,NA,NA,NA
2010,NA,NA,NA
