United States, Cumulative cohort fertility rates (horizontal parallelograms
Last modified: 25/03/2025
Cohort  Age     CCFR
1918    12         .
1918    13         .
1918    14         .
1918    15     0.000
1918    16     0.007
1918    17     0.027
1918    18     0.068
1918    19     0.137
1918    20     0.231
1918    21     0.344
1918    22     0.466
1918    23     0.598
1918    24     0.748
1918    25     0.914
1918    26     1.072
1918    27     1.206
1918    28     1.342
1918    29     1.494
1918    30     1.632
1918    31     1.757
1918    32     1.865
1918    33     1.968
1918    34     2.061
1918    35     2.145
1918    36     2.221
1918    37     2.286
1918    38     2.342
1918    39     2.391
1918    40     2.429
1918    41     2.457
1918    42     2.476
1918    43     2.490
1918    44     2.499
1918    45     2.504
1918    46     2.506
1918    47     2.507
1918    48     2.507
1918    49     2.507
1918    50     2.507
1918    51     2.507
1918    52     2.507
1918    53     2.507
1918    54     2.507
1918    55     2.507
1919    12         .
1919    13         .
1919    14     0.000
1919    15     0.002
1919    16     0.009
1919    17     0.030
1919    18     0.073
1919    19     0.146
1919    20     0.241
1919    21     0.354
1919    22     0.483
1919    23     0.632
1919    24     0.793
1919    25     0.954
1919    26     1.102
1919    27     1.252
1919    28     1.412
1919    29     1.566
1919    30     1.700
1919    31     1.826
1919    32     1.937
1919    33     2.047
1919    34     2.144
1919    35     2.231
1919    36     2.308
1919    37     2.374
1919    38     2.430
1919    39     2.479
1919    40     2.517
1919    41     2.545
1919    42     2.565
1919    43     2.579
1919    44     2.587
1919    45     2.591
1919    46     2.593
1919    47     2.594
1919    48     2.595
1919    49     2.595
1919    50     2.595
1919    51     2.595
1919    52     2.595
1919    53     2.595
1919    54     2.595
1919    55     2.595
1920    12         .
1920    13     0.000
1920    14     0.000
1920    15     0.002
1920    16     0.010
1920    17     0.032
1920    18     0.077
1920    19     0.150
1920    20     0.244
1920    21     0.364
1920    22     0.508
1920    23     0.667
1920    24     0.824
1920    25     0.975
1920    26     1.136
1920    27     1.315
1920    28     1.482
1920    29     1.637
1920    30     1.776
1920    31     1.908
1920    32     2.027
1920    33     2.142
1920    34     2.244
1920    35     2.334
1920    36     2.414
1920    37     2.482
1920    38     2.540
1920    39     2.589
1920    40     2.628
1920    41     2.657
1920    42     2.677
1920    43     2.691
1920    44     2.700
1920    45     2.704
1920    46     2.706
1920    47     2.707
1920    48     2.707
1920    49     2.708
1920    50     2.708
1920    51     2.708
1920    52     2.708
1920    53     2.708
1920    54     2.708
1920    55     2.708
1921    12     0.000
1921    13     0.000
1921    14     0.000
1921    15     0.002
1921    16     0.010
1921    17     0.032
1921    18     0.078
1921    19     0.149
1921    20     0.247
1921    21     0.379
1921    22     0.532
1921    23     0.686
1921    24     0.832
1921    25     0.997
1921    26     1.184
1921    27     1.364
1921    28     1.526
1921    29     1.682
1921    30     1.825
1921    31     1.961
1921    32     2.081
1921    33     2.196
1921    34     2.297
1921    35     2.387
1921    36     2.466
1921    37     2.533
1921    38     2.587
1921    39     2.635
1921    40     2.673
1921    41     2.701
1921    42     2.720
1921    43     2.733
1921    44     2.741
1921    45     2.745
1921    46     2.747
1921    47     2.748
1921    48     2.748
1921    49     2.749
1921    50     2.749
1921    51     2.749
1921    52     2.749
1921    53     2.749
1921    54     2.749
1921    55     2.749
1922    12     0.000
1922    13     0.000
1922    14     0.000
1922    15     0.002
1922    16     0.010
1922    17     0.033
1922    18     0.079
1922    19     0.152
1922    20     0.259
1922    21     0.398
1922    22     0.546
1922    23     0.688
1922    24     0.852
1922    25     1.046
1922    26     1.232
1922    27     1.404
1922    28     1.563
1922    29     1.722
1922    30     1.871
1922    31     2.010
1922    32     2.130
1922    33     2.246
1922    34     2.346
1922    35     2.435
1922    36     2.513
1922    37     2.578
1922    38     2.632
1922    39     2.678
1922    40     2.714
1922    41     2.740
1922    42     2.758
1922    43     2.770
1922    44     2.778
1922    45     2.781
1922    46     2.783
1922    47     2.784
1922    48     2.784
1922    49     2.784
1922    50     2.784
1922    51     2.784
1922    52     2.784
1922    53     2.784
1922    54     2.784
1922    55     2.784
1923    12     0.000
1923    13     0.000
1923    14     0.000
1923    15     0.003
1923    16     0.011
1923    17     0.035
1923    18     0.082
1923    19     0.160
1923    20     0.272
1923    21     0.405
1923    22     0.540
1923    23     0.699
1923    24     0.900
1923    25     1.099
1923    26     1.282
1923    27     1.454
1923    28     1.617
1923    29     1.783
1923    30     1.937
1923    31     2.079
1923    32     2.202
1923    33     2.319
1923    34     2.421
1923    35     2.511
1923    36     2.588
1923    37     2.653
1923    38     2.707
1923    39     2.752
1923    40     2.786
1923    41     2.812
1923    42     2.828
1923    43     2.840
1923    44     2.846
1923    45     2.850
1923    46     2.851
1923    47     2.852
1923    48     2.852
1923    49     2.852
1923    50     2.852
1923    51     2.852
1923    52     2.852
1923    53     2.852
1923    54     2.852
1923    55     2.852
1924    12     0.000
1924    13     0.000
1924    14     0.000
1924    15     0.003
1924    16     0.012
1924    17     0.036
1924    18     0.087
1924    19     0.168
1924    20     0.274
1924    21     0.395
1924    22     0.547
1924    23     0.743
1924    24     0.953
1924    25     1.150
1924    26     1.339
1924    27     1.520
1924    28     1.693
1924    29     1.864
1924    30     2.022
1924    31     2.168
1924    32     2.293
1924    33     2.413
1924    34     2.515
1924    35     2.604
1924    36     2.682
1924    37     2.747
1924    38     2.801
1924    39     2.845
1924    40     2.879
1924    41     2.904
1924    42     2.919
1924    43     2.930
1924    44     2.936
1924    45     2.939
1924    46     2.941
1924    47     2.941
1924    48     2.942
