Country,Sex,Year,h,v,G,eo
Italy,Females,1872,0.06979009893841673,-0.02134247626576018,0.5599347949866876,30.26
Italy,Females,1873,0.13505871728378308,0.03982425270568392,0.5328231870642264,31.84
Italy,Females,1874,0.1479469454114209,0.04859253898521848,0.5289820999241327,32.02
Italy,Females,1875,0.12056344708231725,0.03462906325328745,0.5354673588852462,31.66
Italy,Females,1876,0.17687394599499331,0.08108827734399994,0.5147172696054277,34
Italy,Females,1877,0.22972019863797766,0.11620267237812668,0.49868582561380803,35.2
Italy,Females,1878,0.2065644698017804,0.10693954691189589,0.5029983082493221,34.59
Italy,Females,1879,0.1989392306263142,0.0958932778823301,0.5078723553526975,34.18
Italy,Females,1880,0.17538707714384766,0.07758041213106338,0.5161803553045657,33.2
Italy,Females,1881,0.17770943640589634,0.08354757718419094,0.5129666986258689,34.49
Italy,Females,1882,0.18328066498786152,0.08009753066022578,0.5142202342450914,34.61
Italy,Females,1883,0.19795058667329124,0.10222737184221714,0.5041878813527518,35.24
Italy,Females,1884,0.23173960055670884,0.14278017110889835,0.48659646989954736,36.68
Italy,Females,1885,0.27199468088577095,0.13904381459494827,0.48783270563697756,36.8
Italy,Females,1886,0.22975413322491137,0.10875047078223662,0.5021547581946548,35.11
Italy,Females,1887,0.25283355234845556,0.12219600615662604,0.4956193563052539,36.01
Italy,Females,1888,0.2934564340872949,0.15179771033179276,0.48202004686580047,37.07
Italy,Females,1889,0.3514144487302085,0.19451949211503064,0.4625080907858533,39.13
Italy,Females,1890,0.34936424660670046,0.1930235347471411,0.463335262964544,38.62
Italy,Females,1891,0.34157447553027154,0.18685130830829316,0.4654417893831934,38.56
Italy,Females,1892,0.3636253240976294,0.2107185704980638,0.4553130228180512,38.97
Italy,Females,1893,0.3858057507798897,0.23021104199756107,0.4465550877005625,40.02
Italy,Females,1894,0.3783527494782354,0.22966968564387,0.4469118854688052,40.1
Italy,Females,1895,0.3601603471102723,0.22115282087125984,0.4506531756584331,39.95
Italy,Females,1896,0.38734951340729856,0.24453925698957343,0.440475666785254,41.04
Italy,Females,1897,0.45750361062382483,0.29620052536513014,0.41836339098648134,43.43
Italy,Females,1898,0.441012368050223,0.28479312095970744,0.42315976280170875,42.6
Italy,Females,1899,0.49051484445021826,0.31808546667994564,0.4088880316732461,43.83
Italy,Females,1900,0.4510616476206923,0.2807851242273327,0.4243006451724554,41.98
Italy,Females,1901,0.5080592894672589,0.32081174176487204,0.407230496613971,43.89
Italy,Females,1902,0.47671114016455735,0.2899625644160523,0.41987107798901147,43.19
Italy,Females,1903,0.482243285602398,0.3091505215412186,0.4122159572004524,43.47
Italy,Females,1904,0.5013543097484867,0.3279004467721781,0.4044334549695488,44.62
Italy,Females,1905,0.5128503060969724,0.32728556802821496,0.40428220921794433,44.25
Italy,Females,1906,0.531654583238123,0.34460216922016645,0.39650898782647215,45.43
Italy,Females,1907,0.5561220569816941,0.3659558111449844,0.3881902721303623,45.76
Italy,Females,1908,0.49145467477045846,0.3123550655425044,0.410931756907492,43.51
Italy,Females,1909,0.5517844650288516,0.35851126444565623,0.39094010536849183,45.38
Italy,Females,1910,0.5992078104840165,0.39436396202410307,0.3759484020591984,47.14
Italy,Females,1911,0.550722852640156,0.3558341105968555,0.39240432467860387,45.09
Italy,Females,1912,0.6689337043306072,0.44946467235499826,0.3536659724265653,49.34
Italy,Females,1913,0.6532652746973528,0.43726718793519026,0.3583427589506707,48.89
Italy,Females,1914,0.7089235439112116,0.4830039186807441,0.3408759398343751,50.34
Italy,Females,1915,0.6128953678510994,0.39810281494107513,0.37396291480064725,47.09
Italy,Females,1916,0.5796491967479063,0.3751744741753994,0.3831632529249894,46.7
Italy,Females,1917,0.6262757525003985,0.4106092586279052,0.3691712543551009,47.41
Italy,Females,1918,0.05764776365248037,0.015211471566624788,0.5450939493763259,28.34
Italy,Females,1919,0.5354366844570652,0.34526566895225785,0.3978844692072798,44.88
Italy,Females,1920,0.5712442966153197,0.3816194997162119,0.3834819727668667,46.36
Italy,Females,1921,0.6968594043161299,0.4624834371527002,0.3477575204504376,49.95
Italy,Females,1922,0.756191671833526,0.5092871051773123,0.330542223776054,50.84
Italy,Females,1923,0.7668580634528417,0.519563965632312,0.3264326746969997,52.09
Italy,Females,1924,0.7840502046898747,0.536506995343161,0.32110734524910045,52.3
Italy,Females,1925,0.7857925329460994,0.5316975350154008,0.3222442730604602,52.23
Italy,Females,1926,0.7694814929135513,0.5180301645534733,0.3269103383168834,51.81
Italy,Females,1927,0.821877304456355,0.5576805143841004,0.31229812943723295,53.38
Italy,Females,1928,0.8351506482840291,0.5658679493997585,0.3089972427791545,53.58
Italy,Females,1929,0.8448601053720889,0.5716144486122604,0.30675087898064757,53.3
Italy,Females,1930,0.8975219145888983,0.6245597256267728,0.28867031241357605,56.27
Italy,Females,1931,0.9135195618794225,0.6324595479072761,0.2856468615043386,55.86
Italy,Females,1932,0.9162047776656119,0.6367419002730333,0.28434776358539304,55.95
Italy,Females,1933,0.9636903310771406,0.6766560246020819,0.2716430801802114,57.45
Italy,Females,1934,0.9784332029272228,0.6887447174966144,0.2672747755850694,58.12
Italy,Females,1935,0.977390489789111,0.6835258784504918,0.26881370608716554,57.51
Italy,Females,1936,1.0064690875061486,0.7071704177989415,0.2611657127013134,58.17
Italy,Females,1937,0.9475604572928132,0.6537684663109579,0.2774594773707868,56.8
Italy,Females,1938,0.9850879423970215,0.6784579174982859,0.2688473525150663,57.54
Italy,Females,1939,1.0478387596691916,0.7328928340890482,0.2520523920725276,59.02
Italy,Females,1940,1.0631437183054437,0.7360998599301366,0.24993316189817288,59.03
Italy,Females,1941,1.0284135229245437,0.7048182109886768,0.2589409757115776,58.31
Italy,Females,1942,0.9974501621551329,0.6817619880402811,0.2669975457539504,57.58
Italy,Females,1943,0.9415608376645401,0.6478928738316444,0.280321097378248,56.27
Italy,Females,1944,1.0018958786840082,0.7026608461754889,0.2641827388308939,57.34
Italy,Females,1945,1.0235608107055798,0.7102901234142145,0.2591842088906825,58.63
Italy,Females,1946,1.0661483955198543,0.7396606147988636,0.24837139427608082,60.53
Italy,Females,1947,1.1836937125245848,0.845167147721192,0.21965753658687887,62.92
Italy,Females,1948,1.2726963686446437,0.9259187645741132,0.19920906297981714,64.91
Italy,Females,1949,1.3109515716558169,0.9527640388173281,0.19160594744838888,65.62
Italy,Females,1950,1.3798824085710453,1.0214922404805966,0.17695778100276777,67.43
Italy,Females,1951,1.398297972538559,1.0271287057940524,0.17493862922759437,67.05
Italy,Females,1952,1.433059654414808,1.0529997071838124,0.16896353137383954,67.69
Italy,Females,1953,1.4738157091102158,1.096333774509271,0.160823902761694,68.39
Italy,Females,1954,1.5065832121516185,1.1364433084461598,0.15403414798516907,69.88
Italy,Females,1955,1.5342907943354787,1.1636626205373128,0.14936384501132327,70.36
Italy,Females,1956,1.5716324441434597,1.1893319934056787,0.14449929540987624,69.81
Italy,Females,1957,1.5400807828319572,1.1684334956087397,0.14870559721468096,70.09
Italy,Females,1958,1.566628374335228,1.1964208964417524,0.1437572833538345,71.18
Italy,Females,1959,1.5775541178515518,1.208215365525054,0.1420990579764672,71.64
Italy,Females,1960,1.6103250434469878,1.2355992958228679,0.13766285909796375,71.69
Italy,Females,1961,1.6299618734404773,1.2604735121455048,0.13425302323407223,72.45
Italy,Females,1962,1.633608579441861,1.2587955511070286,0.13420818863071057,71.88
Italy,Females,1963,1.6417322426636498,1.2704822609978703,0.1328741685370167,72.05
Italy,Females,1964,1.663870444402305,1.3067546470340212,0.1281812595513962,73.17
Italy,Females,1965,1.6924573362802726,1.3331643896248575,0.12462282315494964,73.05
Italy,Females,1966,1.6989201701484564,1.3460052135311995,0.12302101621192692,73.81
Italy,Females,1967,1.714765189062894,1.360224591985182,0.12124306900826777,73.82
Italy,Females,1968,1.7296401961058758,1.3721140171548747,0.11950188082135269,73.73
Italy,Females,1969,1.7068312312516647,1.3740043664907569,0.12060859039768816,73.86
Italy,Females,1970,1.739447845546392,1.3980194962140708,0.11697563006480105,74.54
Italy,Females,1971,1.754253123472414,1.410496536595896,0.11520991938987259,74.87
Italy,Females,1972,1.7609543276493453,1.427574011510356,0.11383377180805143,75.2
Italy,Females,1973,1.7899965730344702,1.4454214280220385,0.11111549835308342,75.12
Italy,Females,1974,1.8149283733577555,1.4864763572296766,0.10724367407966526,75.9
Italy,Females,1975,1.8340525382445638,1.512552688985801,0.10469769404227774,75.91
