game_year,Summer,Winter
1896,23.46875,NA
1900,24.804054054054053,NA
1904,23.686131386861312,NA
1908,26.829268292682926,NA
1912,26.74905422446406,NA
1920,27.169590643274855,NA
1924,26.055248618784532,26.402173913043477
1928,24.23196881091618,25.150943396226417
1932,23.769411764705882,25.32967032967033
1936,25.541879096868172,24.892537313432836
1948,27.044233807266984,26.25542168674699
1952,26.092581602373887,25.463483146067414
1956,24.403980099502487,24.48621553884712
1960,25.3365,22.94242424242424
1964,24.70693641618497,23.762172284644194
1968,24.524590163934427,23.40893470790378
1972,25.232225494320573,23.0083857442348
1976,24.240437158469945,22.703508771929826
1980,23.76901874310915,22.95625
1984,24.34216552175335,22.49397590361446
1988,23.949985871715175,23.364973262032084
1992,24.279118572927597,23.48207171314741
1994,NA,22.992565055762082
1996,24.641632016632016,NA
1998,NA,23.740458015267176
2000,24.506176154672396,NA
2002,NA,24.449838187702266
2004,24.48926802421574,NA
2006,NA,24.04191616766467
2008,24.54499237417387,NA
2010,NA,24.269005847953217
2012,24.72657450076805,NA
2014,NA,23.97852233676976
2016,25.212357090732183,NA
2018,NA,23.990791896869244
2020,25.348387096774193,NA
2022,NA,24.485333333333333
