country_name,year,total_medals,color
Afghanistan,2008,1,grey
Afghanistan,2012,1,grey
Algeria,1984,2,grey
Algeria,1992,2,grey
Algeria,1996,3,grey
Algeria,2000,5,grey
Algeria,2008,2,grey
Algeria,2012,1,grey
Algeria,2016,2,grey
Argentina,1924,6,grey
Argentina,1928,7,grey
Argentina,1932,4,grey
Argentina,1936,8,grey
Argentina,1948,7,grey
Argentina,1952,6,grey
Argentina,1956,2,grey
Argentina,1960,2,grey
Argentina,1964,1,grey
Argentina,1968,2,grey
Argentina,1972,1,grey
Argentina,1988,2,grey
Argentina,1992,2,grey
Argentina,1996,3,grey
Argentina,2000,5,grey
Argentina,2004,8,grey
Argentina,2008,8,grey
Argentina,2012,5,grey
Argentina,2016,5,grey
Argentina,2020,3,grey
Armenia,1996,2,grey
Armenia,2000,1,grey
Armenia,2008,5,grey
Armenia,2012,2,grey
Armenia,2016,4,grey
Armenia,2020,4,grey
Australasia,1908,5,grey
Australasia,1912,7,grey
Australia,1896,2,grey
Australia,1900,5,grey
Australia,1904,4,grey
Australia,1920,3,grey
Australia,1924,6,grey
Australia,1928,4,grey
Australia,1932,5,grey
Australia,1936,1,grey
Australia,1948,13,grey
Australia,1952,12,grey
Australia,1956,39,grey
Australia,1960,22,grey
Australia,1964,18,grey
Australia,1968,17,grey
Australia,1972,18,grey
Australia,1976,6,grey
Australia,1980,9,grey
Australia,1984,26,grey
Australia,1988,16,grey
Australia,1992,30,grey
Australia,1994,1,grey
Australia,1996,51,grey
Australia,1998,1,grey
Australia,2000,69,grey
Australia,2002,2,grey
Australia,2004,56,grey
Australia,2006,2,grey
Australia,2008,52,grey
Australia,2010,3,grey
Australia,2012,40,grey
Australia,2014,3,grey
Australia,2016,34,grey
Australia,2018,3,grey
Australia,2020,50,grey
Australia,2022,4,grey
Austria,1896,5,grey
Austria,1900,6,grey
Austria,1904,3,grey
Austria,1908,1,grey
Austria,1912,5,grey
Austria,1924,8,grey
Austria,1928,10,grey
Austria,1932,7,grey
Austria,1936,16,grey
Austria,1948,12,grey
Austria,1952,11,grey
Austria,1956,16,grey
Austria,1960,9,grey
Austria,1964,14,grey
Austria,1968,17,grey
Austria,1972,8,grey
Austria,1976,8,grey
Austria,1980,13,grey
Austria,1984,4,grey
Austria,1988,11,grey
Austria,1992,24,grey
Austria,1994,9,grey
Austria,1996,3,grey
Austria,1998,17,grey
Austria,2000,4,grey
Austria,2002,17,grey
Austria,2004,8,grey
Austria,2006,24,grey
Austria,2008,3,grey
Austria,2010,17,grey
Austria,2014,18,grey
Austria,2016,2,grey
Austria,2018,15,grey
Austria,2020,7,grey
Austria,2022,19,grey
Azerbaijan,1996,1,grey
Azerbaijan,2000,3,grey
Azerbaijan,2004,5,grey
Azerbaijan,2008,6,grey
Azerbaijan,2012,10,grey
Azerbaijan,2016,18,grey
Azerbaijan,2020,7,grey
Bahamas,1956,2,grey
Bahamas,1964,2,grey
Bahamas,1992,1,grey
Bahamas,1996,1,grey
Bahamas,2000,3,grey
Bahamas,2004,2,grey
Bahamas,2008,2,grey
Bahamas,2012,1,grey
Bahamas,2016,2,grey
Bahamas,2020,2,grey
Bahrain,2012,1,grey
Bahrain,2016,2,grey
Bahrain,2020,1,grey
Barbados,2000,1,grey
Belarus,1994,2,grey
Belarus,1996,15,grey
Belarus,1998,2,grey
Belarus,2000,17,grey
Belarus,2002,1,grey
Belarus,2004,15,grey
Belarus,2006,1,grey
Belarus,2008,17,grey
Belarus,2010,3,grey
Belarus,2012,13,grey
Belarus,2014,6,grey
Belarus,2016,9,grey
Belarus,2018,3,grey
Belarus,2020,7,grey
Belarus,2022,2,grey
Belgium,1900,16,grey
Belgium,1908,8,grey
Belgium,1912,6,grey
Belgium,1920,36,grey
Belgium,1924,14,grey
Belgium,1928,4,grey
Belgium,1936,2,grey
Belgium,1948,10,grey
Belgium,1952,5,grey
Belgium,1956,2,grey
Belgium,1960,4,grey
Belgium,1964,3,grey
Belgium,1968,3,grey
Belgium,1972,2,grey
Belgium,1976,6,grey
Belgium,1980,1,grey
Belgium,1984,5,grey
Belgium,1988,2,grey
Belgium,1992,3,grey
Belgium,1996,6,grey
Belgium,1998,1,grey
Belgium,2000,7,grey
Belgium,2004,3,grey
Belgium,2008,2,grey
Belgium,2012,3,grey
Belgium,2016,6,grey
Belgium,2018,1,grey
Belgium,2020,7,grey
Belgium,2022,2,grey
Bermuda,1976,1,grey
Bermuda,2020,1,grey
Bohemia,1900,2,grey
Bohemia,1908,2,grey
Botswana,2012,1,grey
Botswana,2020,1,grey
Brazil,1920,3,grey
Brazil,1948,1,grey
Brazil,1952,3,grey
Brazil,1956,1,grey
Brazil,1960,2,grey
Brazil,1964,1,grey
Brazil,1968,4,grey
Brazil,1972,2,grey
Brazil,1976,3,grey
Brazil,1980,6,grey
Brazil,1984,8,grey
Brazil,1988,8,grey
Brazil,1992,3,grey
Brazil,1996,19,grey
Brazil,2000,16,grey
Brazil,2004,13,grey
Brazil,2008,21,grey
Brazil,2012,20,grey
Brazil,2016,23,grey
Brazil,2020,23,grey
Bulgaria,1952,1,grey
Bulgaria,1956,5,grey
Bulgaria,1960,7,grey
Bulgaria,1964,10,grey
Bulgaria,1968,9,grey
Bulgaria,1972,22,grey
Bulgaria,1976,24,grey
Bulgaria,1980,44,grey
Bulgaria,1988,38,grey
Bulgaria,1992,17,grey
Bulgaria,1996,16,grey
Bulgaria,1998,1,grey
Bulgaria,2000,13,grey
Bulgaria,2002,3,grey
Bulgaria,2004,12,grey
Bulgaria,2006,1,grey
Bulgaria,2008,5,grey
Bulgaria,2012,3,grey
Bulgaria,2016,3,grey
Bulgaria,2020,6,grey
Burkina Faso,2020,1,grey
Burundi,1996,1,grey
Burundi,2016,1,grey
Cameroon,1968,1,grey
Cameroon,1984,1,grey
Cameroon,2000,1,grey
Cameroon,2004,1,grey
Cameroon,2008,1,grey
Cameroon,2012,1,grey
Canada,1900,2,grey
Canada,1904,6,grey
Canada,1908,17,grey
Canada,1912,8,grey
Canada,1920,9,grey
Canada,1924,5,grey
Canada,1928,17,grey
Canada,1932,23,grey
Canada,1936,10,grey
Canada,1948,7,grey
Canada,1952,4,grey
Canada,1956,9,grey
Canada,1960,6,grey
Canada,1964,9,grey
Canada,1968,8,grey
Canada,1972,6,grey
Canada,1976,14,grey
Canada,1980,2,grey
Canada,1984,55,grey
Canada,1988,18,grey
Canada,1992,29,grey
Canada,1994,14,grey
Canada,1996,24,grey
Canada,1998,16,grey
Canada,2000,16,grey
Canada,2002,18,grey
Canada,2004,14,grey
Canada,2006,26,grey
Canada,2008,22,grey
Canada,2010,29,grey
Canada,2012,20,grey
Canada,2014,27,grey
Canada,2016,24,grey
Canada,2018,34,grey
Canada,2020,27,grey
Canada,2022,27,grey
Chile,1928,1,grey
Chile,1952,2,grey
Chile,1956,4,grey
Chile,1988,1,grey
Chile,2000,1,grey
Chile,2004,4,grey
Chile,2008,1,grey
China,1984,32,grey
China,1988,30,grey
China,1992,64,grey
China,1994,3,grey
China,1996,58,grey
China,1998,8,grey
China,2000,70,grey
China,2002,9,grey
China,2004,74,grey
China,2006,13,grey
China,2008,113,grey
China,2010,13,grey
China,2012,102,grey
China,2014,9,grey
China,2016,79,grey
China,2018,10,grey
China,2020,104,grey
China,2022,16,grey
Chinese Taipei,1960,1,grey
Chinese Taipei,1968,1,grey
Chinese Taipei,1984,1,grey
Chinese Taipei,1992,1,grey
Chinese Taipei,1996,1,grey
Chinese Taipei,2000,5,grey
Chinese Taipei,2004,5,grey
Chinese Taipei,2008,4,grey
Chinese Taipei,2012,2,grey
Chinese Taipei,2016,3,grey
Chinese Taipei,2020,14,grey
Colombia,1972,3,grey
Colombia,1984,1,grey
Colombia,1988,1,grey
Colombia,1992,1,grey
Colombia,2000,1,grey
Colombia,2004,2,grey
Colombia,2008,3,grey
Colombia,2012,9,grey
Colombia,2016,8,grey
Colombia,2020,5,grey
Costa Rica,1988,1,grey
Costa Rica,1996,1,grey
Costa Rica,2000,2,grey
Côte d'Ivoire,1984,1,grey
Côte d'Ivoire,2016,2,grey
Côte d'Ivoire,2020,1,grey
Croatia,1992,4,grey
Croatia,1996,2,grey
Croatia,2000,2,grey
Croatia,2002,4,grey
Croatia,2004,7,grey
Croatia,2006,3,grey
