country_code,Gold Medal,Silver Medal,Bronze Medal,Total
CHN,11.0,7.0,6.0,24.0
USA,9.0,15.0,13.0,37.0
FRA,8.0,11.0,8.0,27.0
AUS,8.0,6.0,4.0,18.0
JPN,8.0,3.0,5.0,16.0
GBR,6.0,7.0,7.0,20.0
KOR,6.0,3.0,3.0,12.0
ITA,5.0,7.0,4.0,16.0
CAN,3.0,2.0,3.0,8.0
GER,2.0,2.0,2.0,6.0
NED,2.0,2.0,2.0,6.0
NZL,2.0,2.0,1.0,5.0
ROU,2.0,1.0,1.0,4.0
HKG,2.0,,2.0,4.0
AZE,2.0,,,2.0
HUN,1.0,2.0,1.0,4.0
GEO,1.0,2.0,,3.0
RSA,1.0,1.0,2.0,4.0
SWE,1.0,1.0,2.0,4.0
BEL,1.0,,2.0,3.0
IRL,1.0,,2.0,3.0
KAZ,1.0,,2.0,3.0
CRO,1.0,,1.0,2.0
GUA,1.0,,1.0,2.0
UZB,1.0,,1.0,2.0
ARG,1.0,,,1.0
ECU,1.0,,,1.0
SLO,1.0,,,1.0
SRB,1.0,,,1.0
BRA,,3.0,3.0,6.0
PRK,,2.0,,2.0
ESP,,1.0,3.0,4.0
POL,,1.0,2.0,3.0
SUI,,1.0,2.0,3.0
GRE,,1.0,1.0,2.0
ISR,,1.0,1.0,2.0
KOS,,1.0,1.0,2.0
MEX,,1.0,1.0,2.0
TUR,,1.0,1.0,2.0
UKR,,1.0,1.0,2.0
FIJ,,1.0,,1.0
MGL,,1.0,,1.0
TUN,,1.0,,1.0
IND,,,3.0,3.0
MDA,,,2.0,2.0
AUT,,,1.0,1.0
EGY,,,1.0,1.0
POR,,,1.0,1.0
SVK,,,1.0,1.0
TJK,,,1.0,1.0
