date_start_utc,date_end_utc,estimated,estimated_start,start_text,medal,venue_code,description,venue_code_other,discription_other,team_1_code,team_1,team_2_code,team_2,tag,sport,sport_code,sport_url
2024-07-25T07:30:00Z,2024-07-25T10:30:00Z,False,False,,,INV,Invalides,,,,,,,archery,Archery,ARC,https://olympics.com/en/paris-2024/sports/archery
2024-07-25T12:15:00Z,2024-07-25T15:15:00Z,False,False,,,INV,Invalides,,,,,,,archery,Archery,ARC,https://olympics.com/en/paris-2024/sports/archery
2024-07-28T07:30:00Z,2024-07-28T09:00:00Z,False,False,,,INV,Invalides,,,,,,,archery,Archery,ARC,https://olympics.com/en/paris-2024/sports/archery
2024-07-28T12:15:00Z,2024-07-28T12:38:00Z,False,False,,,INV,Invalides,,,,,,,archery,Archery,ARC,https://olympics.com/en/paris-2024/sports/archery
2024-07-28T13:47:00Z,2024-07-28T14:10:00Z,False,False,,,INV,Invalides,,,,,,,archery,Archery,ARC,https://olympics.com/en/paris-2024/sports/archery
2024-07-28T14:48:00Z,2024-07-28T15:11:00Z,False,False,,3,INV,Invalides,,,,,,,archery,Archery,ARC,https://olympics.com/en/paris-2024/sports/archery
2024-07-28T15:11:00Z,2024-07-28T15:34:00Z,False,False,,1,INV,Invalides,,,,,,,archery,Archery,ARC,https://olympics.com/en/paris-2024/sports/archery
2024-07-29T07:30:00Z,2024-07-29T07:53:00Z,False,False,,,INV,Invalides,,,,,,,archery,Archery,ARC,https://olympics.com/en/paris-2024/sports/archery
2024-07-29T12:15:00Z,2024-07-29T12:38:00Z,False,False,,,INV,Invalides,,,,,,,archery,Archery,ARC,https://olympics.com/en/paris-2024/sports/archery
2024-07-29T13:47:00Z,2024-07-29T14:10:00Z,False,False,,,INV,Invalides,,,,,,,archery,Archery,ARC,https://olympics.com/en/paris-2024/sports/archery
2024-07-29T14:48:00Z,2024-07-29T15:11:00Z,False,False,,3,INV,Invalides,,,,,,,archery,Archery,ARC,https://olympics.com/en/paris-2024/sports/archery
2024-07-29T15:11:00Z,2024-07-29T15:34:00Z,False,False,,1,INV,Invalides,,,,,,,archery,Archery,ARC,https://olympics.com/en/paris-2024/sports/archery
