code,team,team_gender,country,country_full,country_code,discipline,disciplines_code,events,athletes,coaches,athletes_codes,num_athletes,coaches_codes,num_coaches
ARCMTEAM3---CHN01,People's Republic of China,M,China,People's Republic of China,CHN,Archery,ARC,Men's Team,"['KAO Wenchao', 'LI Zhongyuan', 'WANG Yan']",,"['1913366', '1913367', '1913369']",3.0,,
ARCMTEAM3---COL01,Colombia,M,Colombia,Colombia,COL,Archery,ARC,Men's Team,"['ARCILA Santiago', 'ENRIQUEZ Jorge', 'HERNANDEZ VERA Andres']",,"['1935642', '1543412', '1935644']",3.0,,
ARCMTEAM3---FRA01,France,M,France,France,FRA,Archery,ARC,Men's Team,"['ADDIS Baptiste', 'CHIRAULT Thomas', 'VALLADONT Jean-Charles']",,"['1541270', '1541272', '1541275']",3.0,,
ARCMTEAM3---GBR01,Great Britain,M,Great Britain,Great Britain,GBR,Archery,ARC,Men's Team,"['HALL Conor', 'HALL Tom', 'WISE Alex']",,"['1560988', '1560989', '1561003']",3.0,,
ARCMTEAM3---IND01,India,M,India,India,IND,Archery,ARC,Men's Team,"['BOMMADEVARA Dhiraj', 'JADHAV Pravin Ramesh', 'RAI Tarundeep']",,"['1546108', '1546112', '1546110']",3.0,,
ARCMTEAM3---ITA01,Italy,M,Italy,Italy,ITA,Archery,ARC,Men's Team,"['MUSOLESI Federico', 'NESPOLI Mauro', 'PAOLI Alessandro']",,"['1915456', '1915454', '1915455']",3.0,,
ARCMTEAM3---JPN01,Japan,M,Japan,Japan,JPN,Archery,ARC,Men's Team,"['FURUKAWA Takaharu', 'NAKANISHI Junya', 'SAITO Fumiya']",,"['1890994', '1890985', '1890977']",3.0,,
ARCMTEAM3---KAZ01,Kazakhstan,M,Kazakhstan,Kazakhstan,KAZ,Archery,ARC,Men's Team,"['ABDULLIN Ilfat', 'YEREMENKO Alexandr', 'ZHANGBYRBAY Dauletkeldi']",,"['1931570', '1560342', '1931572']",3.0,,
ARCMTEAM3---KOR01,Republic of Korea,M,Korea,Republic of Korea,KOR,Archery,ARC,Men's Team,"['KIM Je Deok', 'KIM Woojin', 'LEE Wooseok']",,"['1902130', '1902135', '1902144']",3.0,,
ARCMTEAM3---MEX01,Mexico,M,Mexico,Mexico,MEX,Archery,ARC,Men's Team,"['GRANDE Matias', 'MARTINEZ WING Bruno', 'ROJAS Carlos']",,"['1535430', '1536467', '1536460']",3.0,,
ARCMTEAM3---TPE01,Chinese Taipei,M,Chinese Taipei,Chinese Taipei,TPE,Archery,ARC,Men's Team,"['LIN Zih-Siang', 'TANG Chih-Chun', 'TAI Yu-Hsuan']",,"['1564631', '1564628', '1564630']",3.0,,
ARCMTEAM3---TUR01,Türkiye,M,Türkiye,Türkiye,TUR,Archery,ARC,Men's Team,"['GAZOZ Mete', 'TUMER Berkim', 'YILDIRMIS Abdullah']",,"['1565000', '1565002', '1565006']",3.0,,
ARCWTEAM3---CHN01,People's Republic of China,W,China,People's Republic of China,CHN,Archery,ARC,Women's Team,"['AN Qixuan', 'LI Jiaman', 'YANG Xiaolei']",,"['1913382', '1913372', '1913380']",3.0,,
ARCWTEAM3---FRA01,France,W,France,France,FRA,Archery,ARC,Women's Team,"['BARBELIN Lisa', 'CORDEAU Amelie', 'LOPEZ Caroline']",,"['1541265', '1541266', '1541268']",3.0,,
ARCWTEAM3---GBR01,Great Britain,W,Great Britain,Great Britain,GBR,Archery,ARC,Women's Team,"['HEALEY Penny', 'HAVERS Megan', 'PITMAN Bryony']",,"['1560991', '1560990', '1561000']",3.0,,
ARCWTEAM3---GER01,Germany,W,Germany,Germany,GER,Archery,ARC,Women's Team,"['BAUER Katharina', 'KROPPEN Michelle', 'SCHWARZ Charline']",,"['1553257', '1553258', '1553285']",3.0,,
ARCWTEAM3---INA01,Indonesia,W,Indonesia,Indonesia,INA,Archery,ARC,Women's Team,"['CHOIRUNISA Diananda', 'KAMAL Syifa Nurafifah', 'OCTAVIA Rezza']",,"['1913983', '1913884', '1913851']",3.0,,
