title,city,date_start,date_end,tag,url,stage_number
Lighting Ceremony,Olympia,2024-04-15T22:01:00Z,2024-04-16T10:01:00Z,lighting-ceremony,https://olympics.com/en/paris-2024/olympic-torch-relay/stages/lighting-ceremony,
Relay in Greece,,2024-04-16T10:02:00Z,2024-04-26T17:06:00Z,relay-in-greece,https://olympics.com/en/paris-2024/olympic-torch-relay/stages/relay-in-greece,
Handover Ceremony,Athens,2024-04-25T22:01:00Z,2024-04-26T17:07:00Z,handover-ceremony,https://olympics.com/en/paris-2024/olympic-torch-relay/stages/handover-ceremony,
Crossing the Mediterranean,Marseille,2024-04-26T17:08:00Z,2024-05-07T22:01:00Z,mediterranean-crossing,https://olympics.com/en/paris-2024/olympic-torch-relay/stages/mediterranean-crossing,
Prologue,Marseille,2024-05-07T22:02:00Z,2024-05-08T20:02:00Z,prologue-marseille,https://olympics.com/en/paris-2024/olympic-torch-relay/stages/prologue-marseille,
Marseille,Marseille,2024-05-08T22:01:00Z,2024-05-09T21:59:00Z,marseille,https://olympics.com/en/paris-2024/olympic-torch-relay/stages/marseille,1.0
Var,Toulon,2024-05-09T22:01:00Z,2024-05-10T21:59:00Z,var-toulon,https://olympics.com/en/paris-2024/olympic-torch-relay/stages/var-toulon,2.0
Alpes-de-Haute-Provence,Manosque,2024-05-10T22:01:00Z,2024-05-11T21:59:00Z,alpes-de-haute-provence-manosque,https://olympics.com/en/paris-2024/olympic-torch-relay/stages/alpes-de-haute-provence-manosque,3.0
Bouches-du-Rhône,Arles,2024-05-11T22:01:00Z,2024-05-12T21:59:00Z,bouche-du-rhones-arles,https://olympics.com/en/paris-2024/olympic-torch-relay/stages/bouche-du-rhones-arles,4.0
Millau-Sète-Montpellier,Montpellier,2024-05-12T22:01:00Z,2024-05-13T21:59:00Z,millau-sete-montpellier-montpellier,https://olympics.com/en/paris-2024/olympic-torch-relay/stages/millau-sete-montpellier-montpellier,5.0
