Country,Sex,Year,s,Age
FRACNP,Females,1816,1,90.27
FRACNP,Females,1816,10,79.09
FRACNP,Females,1816,20,73.03
FRACNP,Females,1816,30,67.47
FRACNP,Females,1816,40,61.11
FRACNP,Females,1816,50,52.4
FRACNP,Females,1816,60,40.22
FRACNP,Females,1816,70,24.97
FRACNP,Females,1816,80,6.3500000000000005
FRACNP,Females,1816,90,0.92
FRACNP,Females,1816,99,0.06
FRACNP,Females,1817,1,90.72
FRACNP,Females,1817,10,79.11
FRACNP,Females,1817,20,72.74
FRACNP,Females,1817,30,66.66
FRACNP,Females,1817,40,60.050000000000004
FRACNP,Females,1817,50,50.53
FRACNP,Females,1817,60,37.910000000000004
FRACNP,Females,1817,70,21.79
FRACNP,Females,1817,80,4.86
FRACNP,Females,1817,90,0.9
FRACNP,Females,1817,99,0.06
FRACNP,Females,1818,1,90.72
FRACNP,Females,1818,10,78.84
FRACNP,Females,1818,20,72.34
FRACNP,Females,1818,30,65.96000000000001
FRACNP,Females,1818,40,58.83
FRACNP,Females,1818,50,48.42
FRACNP,Females,1818,60,34.86
FRACNP,Females,1818,70,18.97
FRACNP,Females,1818,80,4.01
FRACNP,Females,1818,90,0.8200000000000001
FRACNP,Females,1818,99,0.06
FRACNP,Females,1819,1,90.58
FRACNP,Females,1819,10,78.94
FRACNP,Females,1819,20,72.22
FRACNP,Females,1819,30,65.44
FRACNP,Females,1819,40,57.83
FRACNP,Females,1819,50,46.47
FRACNP,Females,1819,60,31.93
FRACNP,Females,1819,70,15.47
FRACNP,Females,1819,80,3.31
FRACNP,Females,1819,90,0.74
FRACNP,Females,1819,99,0.06
FRACNP,Females,1820,1,89.63
FRACNP,Females,1820,10,78.73
FRACNP,Females,1820,20,72.45
FRACNP,Females,1820,30,66.48
FRACNP,Females,1820,40,59.96
FRACNP,Females,1820,50,50.33
FRACNP,Females,1820,60,37.24
FRACNP,Females,1820,70,21.04
FRACNP,Females,1820,80,4.71
FRACNP,Females,1820,90,0.86
FRACNP,Females,1820,99,0.06
FRACNP,Females,1821,1,91.63
FRACNP,Females,1821,10,80.14
FRACNP,Females,1821,20,73.76
FRACNP,Females,1821,30,67.78
FRACNP,Females,1821,40,60.910000000000004
FRACNP,Females,1821,50,51.02
FRACNP,Females,1821,60,37.2
FRACNP,Females,1821,70,20.490000000000002
FRACNP,Females,1821,80,4.43
FRACNP,Females,1821,90,0.87
FRACNP,Females,1821,99,0.06
FRACNP,Females,1822,1,90.84
FRACNP,Females,1822,10,79.97
FRACNP,Females,1822,20,73.56
FRACNP,Females,1822,30,67.4
FRACNP,Females,1822,40,60.300000000000004
FRACNP,Females,1822,50,49.49
FRACNP,Females,1822,60,34.57
FRACNP,Females,1822,70,18.06
FRACNP,Females,1822,80,3.62
FRACNP,Females,1822,90,0.72
FRACNP,Females,1822,99,0.05
FRACNP,Females,1823,1,91.21000000000001
FRACNP,Females,1823,10,80.38
FRACNP,Females,1823,20,74.18
FRACNP,Females,1823,30,68.59
FRACNP,Females,1823,40,61.86
FRACNP,Females,1823,50,52.27
FRACNP,Females,1823,60,38.6
FRACNP,Females,1823,70,21.490000000000002
FRACNP,Females,1823,80,4.71
FRACNP,Females,1823,90,0.81
FRACNP,Females,1823,99,0.06
FRACNP,Females,1824,1,92.02
FRACNP,Females,1824,10,80.45
FRACNP,Females,1824,20,74.12
FRACNP,Females,1824,30,68.15
FRACNP,Females,1824,40,61.11
FRACNP,Females,1824,50,50.980000000000004
FRACNP,Females,1824,60,36.52
FRACNP,Females,1824,70,19.330000000000002
FRACNP,Females,1824,80,3.68
FRACNP,Females,1824,90,0.75
FRACNP,Females,1824,99,0.06
FRACNP,Females,1825,1,91.19
FRACNP,Females,1825,10,79.91
FRACNP,Females,1825,20,73.3
FRACNP,Females,1825,30,66.92
FRACNP,Females,1825,40,59.61
FRACNP,Females,1825,50,48.88
FRACNP,Females,1825,60,34.160000000000004
FRACNP,Females,1825,70,17.150000000000002
FRACNP,Females,1825,80,3.45
FRACNP,Females,1825,90,0.75
FRACNP,Females,1825,99,0.06
FRACNP,Females,1826,1,89.77
FRACNP,Females,1826,10,78.9
FRACNP,Females,1826,20,72.42
FRACNP,Females,1826,30,66.09
FRACNP,Females,1826,40,58.59
FRACNP,Females,1826,50,47.43
FRACNP,Females,1826,60,32.58
FRACNP,Females,1826,70,16.21
FRACNP,Females,1826,80,3.59
FRACNP,Females,1826,90,0.78
FRACNP,Females,1826,99,0.06
FRACNP,Females,1827,1,91.16
FRACNP,Females,1827,10,79.68
FRACNP,Females,1827,20,73.16
FRACNP,Females,1827,30,67.17
FRACNP,Females,1827,40,60.25
FRACNP,Females,1827,50,50.36
FRACNP,Females,1827,60,36.65
FRACNP,Females,1827,70,21.09
FRACNP,Females,1827,80,4.93
FRACNP,Females,1827,90,0.88
FRACNP,Females,1827,99,0.06
FRACNP,Females,1828,1,90.34
FRACNP,Females,1828,10,78.87
FRACNP,Females,1828,20,72.31
FRACNP,Females,1828,30,66.04
FRACNP,Females,1828,40,58.61
FRACNP,Females,1828,50,47.47
FRACNP,Females,1828,60,32.62
FRACNP,Females,1828,70,15.870000000000001
FRACNP,Females,1828,80,3.2
FRACNP,Females,1828,90,0.75
FRACNP,Females,1828,99,0.06
FRACNP,Females,1829,1,89.68
FRACNP,Females,1829,10,78.88
FRACNP,Females,1829,20,72.76
FRACNP,Females,1829,30,67.09
FRACNP,Females,1829,40,60.5
FRACNP,Females,1829,50,50.800000000000004
FRACNP,Females,1829,60,36.93
FRACNP,Females,1829,70,21.44
FRACNP,Females,1829,80,4.75
FRACNP,Females,1829,90,0.9
FRACNP,Females,1829,99,0.06
FRACNP,Females,1830,1,89.86
FRACNP,Females,1830,10,78.91
FRACNP,Females,1830,20,72.81
FRACNP,Females,1830,30,67.16
FRACNP,Females,1830,40,60.47
FRACNP,Females,1830,50,50.78
FRACNP,Females,1830,60,37.11
FRACNP,Females,1830,70,21.37
FRACNP,Females,1830,80,4.71
FRACNP,Females,1830,90,0.9
FRACNP,Females,1830,99,0.06
FRACNP,Females,1831,1,90.12
FRACNP,Females,1831,10,79.37
FRACNP,Females,1831,20,73.38
FRACNP,Females,1831,30,67.71000000000001
FRACNP,Females,1831,40,60.94
FRACNP,Females,1831,50,51.01
FRACNP,Females,1831,60,36.67
FRACNP,Females,1831,70,20.64
FRACNP,Females,1831,80,4.5200000000000005
FRACNP,Females,1831,90,0.9500000000000001
FRACNP,Females,1831,99,0.07
FRACNP,Females,1832,1,87.57000000000001
FRACNP,Females,1832,10,75.85000000000001
FRACNP,Females,1832,20,68.92
FRACNP,Females,1832,30,62.1
FRACNP,Females,1832,40,53.800000000000004
FRACNP,Females,1832,50,42.99
FRACNP,Females,1832,60,30.8
FRACNP,Females,1832,70,16.52
FRACNP,Females,1832,80,3.91
FRACNP,Females,1832,90,0.84
FRACNP,Females,1832,99,0.06
FRACNP,Females,1833,1,90.76
FRACNP,Females,1833,10,79.2
FRACNP,Females,1833,20,72.79
FRACNP,Females,1833,30,66.69
FRACNP,Females,1833,40,59.53
FRACNP,Females,1833,50,48.71
FRACNP,Females,1833,60,34.74
FRACNP,Females,1833,70,19.53
FRACNP,Females,1833,80,4.45
FRACNP,Females,1833,90,0.87
FRACNP,Females,1833,99,0.06
