Country,Sex,Year,s,Age
DNK,Females,1835,1,90.75
DNK,Females,1836,1,90.15
DNK,Females,1837,1,89.47
DNK,Females,1838,1,90.19
DNK,Females,1839,1,90.33
DNK,Females,1840,1,90.12
DNK,Females,1841,1,90.11
DNK,Females,1842,1,89.83
DNK,Females,1843,1,90.19
DNK,Females,1844,1,89.99
DNK,Females,1845,1,90.51
DNK,Females,1846,1,90.11
DNK,Females,1847,1,88.61
DNK,Females,1848,1,90.21000000000001
DNK,Females,1849,1,89.76
DNK,Females,1850,1,91.06
DNK,Females,1851,1,91.06
DNK,Females,1852,1,90.67
DNK,Females,1853,1,87.48
DNK,Females,1854,1,90.77
DNK,Females,1855,1,88.02
DNK,Females,1856,1,90.22
DNK,Females,1857,1,89.52
DNK,Females,1858,1,89.67
DNK,Females,1859,1,90.13
DNK,Females,1860,1,89.9
DNK,Females,1861,1,90.46000000000001
DNK,Females,1862,1,90.55
DNK,Females,1863,1,90.82000000000001
DNK,Females,1864,1,90.15
DNK,Females,1865,1,90.68
DNK,Females,1866,1,90.98
DNK,Females,1867,1,89.57000000000001
DNK,Females,1868,1,91.07000000000001
DNK,Females,1869,1,89.77
DNK,Females,1870,1,90.56
DNK,Females,1871,1,89.58
DNK,Females,1872,1,90.9
DNK,Females,1873,1,90.26
DNK,Females,1874,1,89.58
DNK,Females,1875,1,89.25
DNK,Females,1876,1,90.4
DNK,Females,1877,1,90.59
DNK,Females,1878,1,90.81
DNK,Females,1879,1,89.93
DNK,Females,1880,1,90.03
DNK,Females,1881,1,90.5
DNK,Females,1882,1,90.56
DNK,Females,1883,1,90.25
DNK,Females,1884,1,90.74
DNK,Females,1885,1,90.73
DNK,Females,1886,1,91.03
DNK,Females,1887,1,90.94
DNK,Females,1888,1,90.34
DNK,Females,1889,1,91.45
DNK,Females,1890,1,90.71000000000001
DNK,Females,1891,1,89.21000000000001
DNK,Females,1892,1,89.28
DNK,Females,1893,1,90.4
DNK,Females,1894,1,90.65
DNK,Females,1895,1,90.49
DNK,Females,1896,1,91.02
DNK,Females,1897,1,90.43
DNK,Females,1898,1,91.25
DNK,Females,1899,1,90.27
DNK,Females,1900,1,89.99
DNK,Females,1901,1,91.18
DNK,Females,1902,1,91.38
DNK,Females,1903,1,91.36
DNK,Females,1904,1,91.85000000000001
DNK,Females,1905,1,91.2
DNK,Females,1906,1,92.23
DNK,Females,1907,1,91.18
DNK,Females,1908,1,91.39
