Entity,Code,Year,World regions according to OWID,time
Afghanistan,AFG,2023,Asia,2023
Albania,ALB,2023,Europe,2023
Algeria,DZA,2023,Africa,2023
Andorra,AND,2023,Europe,2023
Angola,AGO,2023,Africa,2023
Antigua and Barbuda,ATG,2023,North America,2023
Argentina,ARG,2023,South America,2023
Armenia,ARM,2023,Asia,2023
Australia,AUS,2023,Oceania,2023
Austria,AUT,2023,Europe,2023
Azerbaijan,AZE,2023,Asia,2023
Bahamas,BHS,2023,North America,2023
Bahrain,BHR,2023,Asia,2023
Bangladesh,BGD,2023,Asia,2023
Barbados,BRB,2023,North America,2023
Belarus,BLR,2023,Europe,2023
Belgium,BEL,2023,Europe,2023
Belize,BLZ,2023,North America,2023
Benin,BEN,2023,Africa,2023
Bhutan,BTN,2023,Asia,2023
Bolivia,BOL,2023,South America,2023
Bosnia and Herzegovina,BIH,2023,Europe,2023
Botswana,BWA,2023,Africa,2023
Brazil,BRA,2023,South America,2023
Brunei,BRN,2023,Asia,2023
Bulgaria,BGR,2023,Europe,2023
Burkina Faso,BFA,2023,Africa,2023
Burundi,BDI,2023,Africa,2023
Cambodia,KHM,2023,Asia,2023
Cameroon,CMR,2023,Africa,2023
Canada,CAN,2023,North America,2023
Cape Verde,CPV,2023,Africa,2023
Central African Republic,CAF,2023,Africa,2023
Chad,TCD,2023,Africa,2023
Chile,CHL,2023,South America,2023
China,CHN,2023,Asia,2023
Colombia,COL,2023,South America,2023
Comoros,COM,2023,Africa,2023
Congo,COG,2023,Africa,2023
Costa Rica,CRI,2023,North America,2023
Cote d'Ivoire,CIV,2023,Africa,2023
Croatia,HRV,2023,Europe,2023
Cuba,CUB,2023,North America,2023
Cyprus,CYP,2023,Europe,2023
Czechia,CZE,2023,Europe,2023
Democratic Republic of Congo,COD,2023,Africa,2023
Denmark,DNK,2023,Europe,2023
Djibouti,DJI,2023,Africa,2023
Dominica,DMA,2023,North America,2023
Dominican Republic,DOM,2023,North America,2023
East Timor,TLS,2023,Asia,2023
Ecuador,ECU,2023,South America,2023
Egypt,EGY,2023,Africa,2023
El Salvador,SLV,2023,North America,2023
Equatorial Guinea,GNQ,2023,Africa,2023
Eritrea,ERI,2023,Africa,2023
Estonia,EST,2023,Europe,2023
Eswatini,SWZ,2023,Africa,2023
Ethiopia,ETH,2023,Africa,2023
Fiji,FJI,2023,Oceania,2023
Finland,FIN,2023,Europe,2023
France,FRA,2023,Europe,2023
French Guiana,GUF,2023,South America,2023
Gabon,GAB,2023,Africa,2023
Gambia,GMB,2023,Africa,2023
Georgia,GEO,2023,Asia,2023
Germany,DEU,2023,Europe,2023
Ghana,GHA,2023,Africa,2023
Greece,GRC,2023,Europe,2023
Greenland,GRL,2023,North America,2023
Grenada,GRD,2023,North America,2023
Guatemala,GTM,2023,North America,2023
Guinea,GIN,2023,Africa,2023
Guinea-Bissau,GNB,2023,Africa,2023
Guyana,GUY,2023,South America,2023
Haiti,HTI,2023,North America,2023
Honduras,HND,2023,North America,2023
Hungary,HUN,2023,Europe,2023
Iceland,ISL,2023,Europe,2023
India,IND,2023,Asia,2023
Indonesia,IDN,2023,Asia,2023
Iran,IRN,2023,Asia,2023
Iraq,IRQ,2023,Asia,2023
Ireland,IRL,2023,Europe,2023
Israel,ISR,2023,Asia,2023
Italy,ITA,2023,Europe,2023
Jamaica,JAM,2023,North America,2023
Japan,JPN,2023,Asia,2023
Jordan,JOR,2023,Asia,2023
Kazakhstan,KAZ,2023,Asia,2023
Kenya,KEN,2023,Africa,2023
Kiribati,KIR,2023,Oceania,2023
Kosovo,OWID_KOS,2023,Europe,2023
Kuwait,KWT,2023,Asia,2023
Kyrgyzstan,KGZ,2023,Asia,2023
Laos,LAO,2023,Asia,2023
Latvia,LVA,2023,Europe,2023
Lebanon,LBN,2023,Asia,2023
Lesotho,LSO,2023,Africa,2023
Liberia,LBR,2023,Africa,2023
Libya,LBY,2023,Africa,2023
Liechtenstein,LIE,2023,Europe,2023
Lithuania,LTU,2023,Europe,2023
Luxembourg,LUX,2023,Europe,2023
Madagascar,MDG,2023,Africa,2023
Malawi,MWI,2023,Africa,2023
Malaysia,MYS,2023,Asia,2023
Maldives,MDV,2023,Asia,2023
Mali,MLI,2023,Africa,2023
Malta,MLT,2023,Europe,2023
Marshall Islands,MHL,2023,Oceania,2023
Mauritania,MRT,2023,Africa,2023
Mauritius,MUS,2023,Africa,2023
Mexico,MEX,2023,North America,2023
Micronesia (country),FSM,2023,Oceania,2023
Moldova,MDA,2023,Europe,2023
Monaco,MCO,2023,Europe,2023
Mongolia,MNG,2023,Asia,2023
Montenegro,MNE,2023,Europe,2023
Morocco,MAR,2023,Africa,2023
Mozambique,MOZ,2023,Africa,2023
Myanmar,MMR,2023,Asia,2023
Namibia,NAM,2023,Africa,2023
Nauru,NRU,2023,Oceania,2023
