Entity,Code,Year,Which countries include the inactivated polio vaccine (IPV) in their national vaccination programs?
Afghanistan,AFG,1955,Not routinely administered
Afghanistan,AFG,1956,Not routinely administered
Afghanistan,AFG,1957,Not routinely administered
Afghanistan,AFG,1958,Not routinely administered
Afghanistan,AFG,1959,Not routinely administered
Afghanistan,AFG,1960,Not routinely administered
Afghanistan,AFG,1961,Not routinely administered
Afghanistan,AFG,1962,Not routinely administered
Afghanistan,AFG,1963,Not routinely administered
Afghanistan,AFG,1964,Not routinely administered
Afghanistan,AFG,1965,Not routinely administered
Afghanistan,AFG,1966,Not routinely administered
Afghanistan,AFG,1967,Not routinely administered
Afghanistan,AFG,1968,Not routinely administered
Afghanistan,AFG,1969,Not routinely administered
Afghanistan,AFG,1970,Not routinely administered
Afghanistan,AFG,1971,Not routinely administered
Afghanistan,AFG,1972,Not routinely administered
Afghanistan,AFG,1973,Not routinely administered
Afghanistan,AFG,1974,Not routinely administered
Afghanistan,AFG,1975,Not routinely administered
Afghanistan,AFG,1976,Not routinely administered
Afghanistan,AFG,1977,Not routinely administered
Afghanistan,AFG,1978,Not routinely administered
Afghanistan,AFG,1979,Not routinely administered
Afghanistan,AFG,1980,Not routinely administered
Afghanistan,AFG,1981,Not routinely administered
Afghanistan,AFG,1982,Not routinely administered
Afghanistan,AFG,1983,Not routinely administered
Afghanistan,AFG,1984,Not routinely administered
Afghanistan,AFG,1985,Not routinely administered
Afghanistan,AFG,1986,Not routinely administered
Afghanistan,AFG,1987,Not routinely administered
Afghanistan,AFG,1988,Not routinely administered
Afghanistan,AFG,1989,Not routinely administered
Afghanistan,AFG,1990,Not routinely administered
Afghanistan,AFG,1991,Not routinely administered
Afghanistan,AFG,1992,Not routinely administered
Afghanistan,AFG,1993,Not routinely administered
Afghanistan,AFG,1994,Not routinely administered
Afghanistan,AFG,1995,Not routinely administered
Afghanistan,AFG,1996,Not routinely administered
Afghanistan,AFG,1997,Not routinely administered
Afghanistan,AFG,1998,Not routinely administered
Afghanistan,AFG,1999,Not routinely administered
Afghanistan,AFG,2000,Not routinely administered
Afghanistan,AFG,2001,Not routinely administered
Afghanistan,AFG,2002,Not routinely administered
Afghanistan,AFG,2003,Not routinely administered
Afghanistan,AFG,2004,Not routinely administered
Afghanistan,AFG,2005,Not routinely administered
Afghanistan,AFG,2006,Not routinely administered
Afghanistan,AFG,2007,Not routinely administered
Afghanistan,AFG,2008,Not routinely administered
Afghanistan,AFG,2009,Not routinely administered
Afghanistan,AFG,2010,Not routinely administered
Afghanistan,AFG,2011,Not routinely administered
Afghanistan,AFG,2012,Not routinely administered
Afghanistan,AFG,2013,Not routinely administered
Afghanistan,AFG,2014,Not routinely administered
Afghanistan,AFG,2015,Entire country
Afghanistan,AFG,2016,Entire country
Afghanistan,AFG,2017,Entire country
Afghanistan,AFG,2018,Entire country
Afghanistan,AFG,2019,Entire country
Afghanistan,AFG,2020,Entire country
Afghanistan,AFG,2021,Entire country
Afghanistan,AFG,2022,Entire country
Afghanistan,AFG,2023,Entire country
Afghanistan,AFG,2024,Entire country
Albania,ALB,1955,Not routinely administered
Albania,ALB,1956,Not routinely administered
Albania,ALB,1957,Not routinely administered
Albania,ALB,1958,Not routinely administered
Albania,ALB,1959,Not routinely administered
Albania,ALB,1960,Not routinely administered
Albania,ALB,1961,Not routinely administered
Albania,ALB,1962,Not routinely administered
Albania,ALB,1963,Not routinely administered
Albania,ALB,1964,Not routinely administered
Albania,ALB,1965,Not routinely administered
Albania,ALB,1966,Not routinely administered
Albania,ALB,1967,Not routinely administered
Albania,ALB,1968,Not routinely administered
Albania,ALB,1969,Not routinely administered
Albania,ALB,1970,Not routinely administered
Albania,ALB,1971,Not routinely administered
Albania,ALB,1972,Not routinely administered
Albania,ALB,1973,Not routinely administered
Albania,ALB,1974,Not routinely administered
Albania,ALB,1975,Not routinely administered
Albania,ALB,1976,Not routinely administered
Albania,ALB,1977,Not routinely administered
Albania,ALB,1978,Not routinely administered
Albania,ALB,1979,Not routinely administered
Albania,ALB,1980,Not routinely administered
Albania,ALB,1981,Not routinely administered
Albania,ALB,1982,Not routinely administered
Albania,ALB,1983,Not routinely administered
Albania,ALB,1984,Not routinely administered
Albania,ALB,1985,Not routinely administered
Albania,ALB,1986,Not routinely administered
Albania,ALB,1987,Not routinely administered
Albania,ALB,1988,Not routinely administered
Albania,ALB,1989,Not routinely administered
Albania,ALB,1990,Not routinely administered
Albania,ALB,1991,Not routinely administered
Albania,ALB,1992,Not routinely administered
Albania,ALB,1993,Not routinely administered
Albania,ALB,1994,Not routinely administered
Albania,ALB,1995,Not routinely administered
Albania,ALB,1996,Not routinely administered
Albania,ALB,1997,Not routinely administered
Albania,ALB,1998,Not routinely administered
Albania,ALB,1999,Not routinely administered
Albania,ALB,2000,Not routinely administered
Albania,ALB,2001,Not routinely administered
Albania,ALB,2002,Not routinely administered
Albania,ALB,2003,Not routinely administered
Albania,ALB,2004,Not routinely administered
Albania,ALB,2005,Not routinely administered
Albania,ALB,2006,Not routinely administered
Albania,ALB,2007,Not routinely administered
Albania,ALB,2008,Not routinely administered
Albania,ALB,2009,Not routinely administered
Albania,ALB,2010,Not routinely administered
Albania,ALB,2011,Not routinely administered
Albania,ALB,2012,Not routinely administered
Albania,ALB,2013,Not routinely administered
Albania,ALB,2014,Entire country
Albania,ALB,2015,Entire country
Albania,ALB,2016,Entire country
Albania,ALB,2017,Entire country
Albania,ALB,2018,Entire country
Albania,ALB,2019,Entire country
Albania,ALB,2020,Entire country
Albania,ALB,2021,Entire country
Albania,ALB,2022,Entire country
Albania,ALB,2023,Entire country
Albania,ALB,2024,Entire country
Algeria,DZA,1955,Not routinely administered
Algeria,DZA,1956,Not routinely administered
Algeria,DZA,1957,Not routinely administered
Algeria,DZA,1958,Not routinely administered
Algeria,DZA,1959,Not routinely administered
Algeria,DZA,1960,Not routinely administered
Algeria,DZA,1961,Not routinely administered
Algeria,DZA,1962,Not routinely administered
Algeria,DZA,1963,Not routinely administered
Algeria,DZA,1964,Not routinely administered
Algeria,DZA,1965,Not routinely administered
Algeria,DZA,1966,Not routinely administered
Algeria,DZA,1967,Not routinely administered
Algeria,DZA,1968,Not routinely administered
Algeria,DZA,1969,Not routinely administered
Algeria,DZA,1970,Not routinely administered
Algeria,DZA,1971,Not routinely administered
Algeria,DZA,1972,Not routinely administered
Algeria,DZA,1973,Not routinely administered
Algeria,DZA,1974,Not routinely administered
Algeria,DZA,1975,Not routinely administered
Algeria,DZA,1976,Not routinely administered
Algeria,DZA,1977,Not routinely administered
Algeria,DZA,1978,Not routinely administered
Algeria,DZA,1979,Not routinely administered
Algeria,DZA,1980,Not routinely administered
Algeria,DZA,1981,Not routinely administered
Algeria,DZA,1982,Not routinely administered
Algeria,DZA,1983,Not routinely administered
Algeria,DZA,1984,Not routinely administered
Algeria,DZA,1985,Not routinely administered
Algeria,DZA,1986,Not routinely administered
Algeria,DZA,1987,Not routinely administered
Algeria,DZA,1988,Not routinely administered
Algeria,DZA,1989,Not routinely administered
Algeria,DZA,1990,Not routinely administered
Algeria,DZA,1991,Not routinely administered
Algeria,DZA,1992,Not routinely administered
Algeria,DZA,1993,Not routinely administered
Algeria,DZA,1994,Not routinely administered
Algeria,DZA,1995,Not routinely administered
Algeria,DZA,1996,Not routinely administered
Algeria,DZA,1997,Not routinely administered
Algeria,DZA,1998,Not routinely administered
Algeria,DZA,1999,Not routinely administered
Algeria,DZA,2000,Not routinely administered
Algeria,DZA,2001,Not routinely administered
Algeria,DZA,2002,Not routinely administered
Algeria,DZA,2003,Not routinely administered
Algeria,DZA,2004,Not routinely administered
Algeria,DZA,2005,Not routinely administered
Algeria,DZA,2006,Not routinely administered
Algeria,DZA,2007,Not routinely administered
Algeria,DZA,2008,Not routinely administered
Algeria,DZA,2009,Not routinely administered
Algeria,DZA,2010,Not routinely administered
Algeria,DZA,2011,Not routinely administered
Algeria,DZA,2012,Not routinely administered
Algeria,DZA,2013,Not routinely administered
Algeria,DZA,2014,Not routinely administered
Algeria,DZA,2015,Entire country
Algeria,DZA,2016,Entire country
Algeria,DZA,2017,Entire country
Algeria,DZA,2018,Entire country
Algeria,DZA,2019,Entire country
Algeria,DZA,2020,Entire country
Algeria,DZA,2021,Entire country
Algeria,DZA,2022,Entire country
Algeria,DZA,2023,Entire country
Algeria,DZA,2024,Entire country
Andorra,AND,1997,Not routinely administered
Andorra,AND,1998,Not routinely administered
Andorra,AND,1999,Entire country
Andorra,AND,2000,Entire country
Andorra,AND,2001,Entire country
Andorra,AND,2002,Entire country
Andorra,AND,2003,Entire country
Andorra,AND,2004,Entire country
Andorra,AND,2005,Entire country
Andorra,AND,2006,Entire country
Andorra,AND,2007,Entire country
Andorra,AND,2008,Entire country
Andorra,AND,2009,Entire country
Andorra,AND,2010,Entire country
Andorra,AND,2011,Entire country
Andorra,AND,2012,Entire country
Andorra,AND,2013,Entire country
Andorra,AND,2014,Entire country
Andorra,AND,2015,Entire country
Andorra,AND,2016,Entire country
Andorra,AND,2017,Entire country
Andorra,AND,2018,Entire country
Andorra,AND,2019,Entire country
Andorra,AND,2020,Entire country
Andorra,AND,2021,Entire country
Andorra,AND,2022,Entire country
Andorra,AND,2023,Entire country
Andorra,AND,2024,Entire country
Angola,AGO,1955,Not routinely administered
Angola,AGO,1956,Not routinely administered
Angola,AGO,1957,Not routinely administered
Angola,AGO,1958,Not routinely administered
Angola,AGO,1959,Not routinely administered
Angola,AGO,1960,Not routinely administered
Angola,AGO,1961,Not routinely administered
Angola,AGO,1962,Not routinely administered
Angola,AGO,1963,Not routinely administered
Angola,AGO,1964,Not routinely administered
Angola,AGO,1965,Not routinely administered
Angola,AGO,1966,Not routinely administered
Angola,AGO,1967,Not routinely administered
Angola,AGO,1968,Not routinely administered
Angola,AGO,1969,Not routinely administered
Angola,AGO,1970,Not routinely administered
Angola,AGO,1971,Not routinely administered
Angola,AGO,1972,Not routinely administered
Angola,AGO,1973,Not routinely administered
Angola,AGO,1974,Not routinely administered
Angola,AGO,1975,Not routinely administered
Angola,AGO,1976,Not routinely administered
Angola,AGO,1977,Not routinely administered
Angola,AGO,1978,Not routinely administered
Angola,AGO,1979,Not routinely administered
Angola,AGO,1980,Not routinely administered
Angola,AGO,1981,Not routinely administered
Angola,AGO,1982,Not routinely administered
Angola,AGO,1983,Not routinely administered
Angola,AGO,1984,Not routinely administered
Angola,AGO,1985,Not routinely administered
Angola,AGO,1986,Not routinely administered
Angola,AGO,1987,Not routinely administered
Angola,AGO,1988,Not routinely administered
Angola,AGO,1989,Not routinely administered
Angola,AGO,1990,Not routinely administered
Angola,AGO,1991,Not routinely administered
Angola,AGO,1992,Not routinely administered
Angola,AGO,1993,Not routinely administered
Angola,AGO,1994,Not routinely administered
Angola,AGO,1995,Not routinely administered
Angola,AGO,1996,Not routinely administered
Angola,AGO,1997,Not routinely administered
Angola,AGO,1998,Not routinely administered
Angola,AGO,1999,Not routinely administered
Angola,AGO,2000,Not routinely administered
Angola,AGO,2001,Not routinely administered
Angola,AGO,2002,Not routinely administered
Angola,AGO,2003,Not routinely administered
Angola,AGO,2004,Not routinely administered
Angola,AGO,2005,Not routinely administered
Angola,AGO,2006,Not routinely administered
Angola,AGO,2007,Not routinely administered
Angola,AGO,2008,Not routinely administered
Angola,AGO,2009,Not routinely administered
Angola,AGO,2010,Not routinely administered
Angola,AGO,2011,Not routinely administered
Angola,AGO,2012,Not routinely administered
Angola,AGO,2013,Not routinely administered
Angola,AGO,2014,Not routinely administered
Angola,AGO,2015,Not routinely administered
Angola,AGO,2016,Not routinely administered
Angola,AGO,2017,Entire country
Angola,AGO,2018,Entire country
Angola,AGO,2019,Entire country
Angola,AGO,2020,Entire country
Angola,AGO,2021,Entire country
Angola,AGO,2022,Entire country
Angola,AGO,2023,Entire country
Angola,AGO,2024,Entire country
Antigua and Barbuda,ATG,1955,Not routinely administered
Antigua and Barbuda,ATG,1956,Not routinely administered
Antigua and Barbuda,ATG,1957,Not routinely administered
Antigua and Barbuda,ATG,1958,Not routinely administered
Antigua and Barbuda,ATG,1959,Not routinely administered
Antigua and Barbuda,ATG,1960,Not routinely administered
Antigua and Barbuda,ATG,1961,Not routinely administered
Antigua and Barbuda,ATG,1962,Not routinely administered
Antigua and Barbuda,ATG,1963,Not routinely administered
Antigua and Barbuda,ATG,1964,Not routinely administered
Antigua and Barbuda,ATG,1965,Not routinely administered
Antigua and Barbuda,ATG,1966,Not routinely administered
Antigua and Barbuda,ATG,1967,Not routinely administered
Antigua and Barbuda,ATG,1968,Not routinely administered
Antigua and Barbuda,ATG,1969,Not routinely administered
Antigua and Barbuda,ATG,1970,Not routinely administered
Antigua and Barbuda,ATG,1971,Not routinely administered
Antigua and Barbuda,ATG,1972,Not routinely administered
Antigua and Barbuda,ATG,1973,Not routinely administered
Antigua and Barbuda,ATG,1974,Not routinely administered
Antigua and Barbuda,ATG,1975,Not routinely administered
