Entity,Code,Year,Polio vaccine schedule
Afghanistan,AFG,2023,Both IPV and OPV
Albania,ALB,2023,Both IPV and OPV
Algeria,DZA,2023,Both IPV and OPV
Andorra,AND,2023,IPV
Angola,AGO,2023,Both IPV and OPV
Anguilla,AIA,2023,Both IPV and OPV
Antigua and Barbuda,ATG,2023,Both IPV and OPV
Argentina,ARG,2023,IPV
Armenia,ARM,2023,IPV
Aruba,ABW,2023,IPV
Australia,AUS,2023,IPV
Austria,AUT,2023,IPV
Azerbaijan,AZE,2023,Both IPV and OPV
Bahamas,BHS,2023,Both IPV and OPV
Bahrain,BHR,2023,Both IPV and OPV
Bangladesh,BGD,2023,Both IPV and OPV
Barbados,BRB,2023,Both IPV and OPV
Belarus,BLR,2023,IPV
Belgium,BEL,2023,IPV
Belize,BLZ,2023,Both IPV and OPV
Benin,BEN,2023,Both IPV and OPV
Bermuda,BMU,2023,IPV
Bhutan,BTN,2023,Both IPV and OPV
Bolivia,BOL,2023,Both IPV and OPV
Bosnia and Herzegovina,BIH,2023,IPV
Botswana,BWA,2023,Both IPV and OPV
Brazil,BRA,2023,Both IPV and OPV
British Virgin Islands,VGB,2023,Both IPV and OPV
Brunei,BRN,2023,IPV
Bulgaria,BGR,2023,IPV
Burkina Faso,BFA,2023,Both IPV and OPV
Burundi,BDI,2023,Both IPV and OPV
Cambodia,KHM,2023,Both IPV and OPV
Cameroon,CMR,2023,Both IPV and OPV
Canada,CAN,2023,IPV
Cape Verde,CPV,2023,Both IPV and OPV
Cayman Islands,CYM,2023,IPV
Central African Republic,CAF,2023,Both IPV and OPV
Chad,TCD,2023,Both IPV and OPV
Chile,CHL,2023,IPV
China,CHN,2023,Both IPV and OPV
Colombia,COL,2023,IPV
Comoros,COM,2023,Both IPV and OPV
Congo,COG,2023,Both IPV and OPV
Cook Islands,COK,2023,Both IPV and OPV
Costa Rica,CRI,2023,IPV
Cote d'Ivoire,CIV,2023,Both IPV and OPV
Croatia,HRV,2023,IPV
Cuba,CUB,2023,Both IPV and OPV
Curacao,CUW,2019,Both IPV and OPV
Cyprus,CYP,2023,IPV
Czechia,CZE,2023,IPV
Democratic Republic of Congo,COD,2023,Both IPV and OPV
Denmark,DNK,2023,IPV
Djibouti,DJI,2023,Both IPV and OPV
Dominica,DMA,2023,Both IPV and OPV
Dominican Republic,DOM,2023,Both IPV and OPV
East Timor,TLS,2023,Both IPV and OPV
Ecuador,ECU,2023,Both IPV and OPV
Egypt,EGY,2023,Both IPV and OPV
El Salvador,SLV,2023,Both IPV and OPV
Equatorial Guinea,GNQ,2023,Both IPV and OPV
Eritrea,ERI,2023,Both IPV and OPV
Estonia,EST,2023,IPV
Eswatini,SWZ,2023,Both IPV and OPV
Ethiopia,ETH,2023,Both IPV and OPV
Fiji,FJI,2023,Both IPV and OPV
Finland,FIN,2023,IPV
France,FRA,2023,IPV
French Polynesia,PYF,2023,IPV
Gabon,GAB,2023,Both IPV and OPV
Gambia,GMB,2023,Both IPV and OPV
Georgia,GEO,2023,IPV
Germany,DEU,2023,IPV
Ghana,GHA,2023,Both IPV and OPV
Greece,GRC,2023,IPV
Grenada,GRD,2023,Both IPV and OPV
Guam,GUM,2023,IPV
Guatemala,GTM,2023,Both IPV and OPV
Guinea,GIN,2023,Both IPV and OPV
Guinea-Bissau,GNB,2023,Both IPV and OPV
Guyana,GUY,2023,Both IPV and OPV
Haiti,HTI,2023,Both IPV and OPV
Honduras,HND,2023,Both IPV and OPV
Hong Kong,HKG,2023,IPV
Hungary,HUN,2023,IPV
Iceland,ISL,2023,IPV
India,IND,2023,Both IPV and OPV
Indonesia,IDN,2023,Both IPV and OPV
Iran,IRN,2023,Both IPV and OPV
Iraq,IRQ,2023,Both IPV and OPV
Ireland,IRL,2023,IPV
Israel,ISR,2022,Both IPV and OPV
Italy,ITA,2023,IPV
Jamaica,JAM,2023,Both IPV and OPV
Japan,JPN,2023,IPV
Jordan,JOR,2023,Both IPV and OPV
Kazakhstan,KAZ,2023,Both IPV and OPV
Kenya,KEN,2023,Both IPV and OPV
Kiribati,KIR,2023,Both IPV and OPV
Kosovo,OWID_KOS,2023,Both IPV and OPV
Kuwait,KWT,2023,Both IPV and OPV
Kyrgyzstan,KGZ,2023,Both IPV and OPV
Laos,LAO,2023,Both IPV and OPV
Latvia,LVA,2023,IPV
